n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,latitude,longitude
Ref_0063,,11,Saint-André de Roquelongue,,Médiathèque Milcom de Saint-André de Roquelongue,,11200,120 rue des écoles,,120 rue des écoles 11200 Saint-André de Roquelongue,,Médiathèque,,04 68 45 17 56,mediatheque-st-andre@wanadoo.fr,,,15h-19h,,9h-12h et 17h-19h,,9h-12h,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.114915,2.838263,ORD,TP,,43.11488,2.83818
Ref_0064,,11,Limoux,,Espace Public Numérique de la MLIDR11 Limoux,,11300,5 avenue de la gare,,5 avenue de la gare 11300 Limoux,,,,04 68 74 70 90,mli.dr11@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.05643,2.221904,,,,43.05643,2.221904
Ref_0065,,11,Laroque de Fa,,Maison de services au public POM'S Laroque de Fa,,11330,6 rue de la mairie,,6 rue de la mairie 11330 Laroque de Fa,,MSAP,,04 68 70 08 27,poms.laroquedefa@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.956407,2.564615,,,,42.956356,2.56445
Ref_0066,,11,Lanet,,Maison de services au public POM'S de Lanet,,11330,Place de la mairie,,Place de la mairie 11330 Lanet,,MSAP,,04 68 70 02 34,poms.lanet@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.964192,2.495528,,,,42.964345,2.492436
Ref_0067,,11,Mouthoumet,,ADHCo Centre Social,,11330,23 Rue de la Gare,,23 Rue de la Gare 11330 Mouthoumet,,Centre social,,04 68 70 18 50,adhco.developpement@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.960106,2.528877,,,,42.960106,2.528877
Ref_0068,,11,Mouthoumet,,Maison de services au public POM'S de Mouthoumet,,11330,12 Rue de la Gare,,12 Rue de la Gare 11330 Mouthoumet,,MSAP,,04 68 42 12 95,poms.mouthoumet@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.960196,2.528048,,,,42.960196,2.528048
Ref_0069,,11,Félines-Termenès,,Maison de services au public POM'S de Félines-Termenès,,11330,20 Avenue Termenès,,20 Avenue Termenès 11330 Félines-Termenès,,MSAP,,,poms.felines@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.989157,2.615493,,,,42.989157,2.615493
Ref_0070,,11,Castelnaudary,,Mission Locale Ouest Audois,,11400,53 Boulevard Général Lapasset,,53 Boulevard Général Lapasset 11400 Castelnaudary,,Mission locale,,04 68 23 67,accueil.castelnaudary@mloa.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.321257,1.950321,,,,43.320823,1.950425
Ref_0071,,11,Castelnaudary,,Médiathèque Georges Canguilhem,,11400,8 Rue du Commandant Raynal,,8 Rue du Commandant Raynal 11400 Castelnaudary,,Médiathèque,,04 68 94 58 49,mediatheques@cccla.fr,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.320146,1.949409,ORD,TP,,43.320146,1.949409
Ref_0072,,11,Carcassonne,,Espace de co-oworking : L'Alpha'[R],CARCASSONNE AGGLO,11000,20 Rue Claude Chappe,,20 Rue Claude Chappe 11000 Carcassonne,,,,,rmine@carcassonne-agglo.fr,,,,,,,,,Decembre 2019,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.21177,2.324315,W,,,43.21177,2.324315
Ref_0073,,11,Carcassonne,,Ateliers Canopé,,11000,10 Boulevard Omer Sarraut,,10 Boulevard Omer Sarraut 11000 Carcassonne,Association,,,,contact.atelier11@reseau-canope.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.216587,2.352707,,,,43.216587,2.352707
Ref_0074,,11,Carcassonne,,Point Numérique,Préfecture de l'Aude,11000,52 Rue Jean Bringer,,52 Rue Jean Bringer 11000 Carcassonne,,,,04 68 10 27 00,,,,,,,,,,Janvier 2020,TP,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.214867,2.353742,ORD,TP-TP,,43.214867,2.353742
Ref_0075,,11,Limoux,,Point Numérique,Préfecture de l'Aude,11300,12 rue du palais,,12 rue du palais 11300 Limoux,,,,04 68 31 03 50,,,,,,,,,,Janvier 2020,TP,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.054883,2.217804,ORD,TP-TP,,43.054883,2.217804
Ref_0076,,11,Vignevieille,,Maison de services au public POM'S de Vignevieille,,11330,6 rue du lavoir,,6 rue du lavoir 11330 Vignevieille,,MSAP,,04 68 70 06 81,poms.vignevieille@orange.fr,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.005662,2.525325,,,,43.005662,2.525325
Ref_0077,,11,Quillan,,Bibliothèque Municipale de Quillan,,11500,9 Place Raoul de Volontat,,9 Place Raoul de Volontat 11500 Quillan,,Bibliothèque,,04 68 31 15 46,epn@pyreneesaudoises.fr,,,,,,,,,Janvier 2020,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,42.875281,2.183676,ORD,TP,,42.875281,2.183676
Ref_0078,,11,Villepinte,,Médiathèque de Villepinte,,11150,12 boulevard gambetta,,12 boulevard gambetta 11150 Villepinte,,Médiathèque,,01 55 85 96 33,,,,,,,,,,Janvier 2020,TP,,ORD,,,,,,,,,,,,,,,,,,,,,,,,43.281251,2.088425,ORD,TP,,43.281251,2.088425
Ref_0079,,11,Narbonne,,MEDIATHEQUE DU GRAND NARBONNE,Grand Narbonne,11100,9 Boulevard Frédéric Mistral,,9 Boulevard Frédéric Mistral 11100 Narbonne,,Médiathèque,,04 68 43 40 40,,,,,,,,,,Janvier 2020,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.187582,3.003669,ORD,TP,,43.187582,3.003669
Ref_0080,,11,LES ILHES CABARDES,,Maison de Services au Public du Haut Cabardès,,11380,Route de Mas-Cabardès,,Route de Mas-Cabardès 11380 LES ILHES CABARDES,,MSAP,,04 68 26 33 22,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.363067,2.376678,,,,43.363067,2.376678
Ref_0081,,11,Bram,,Pop Coworking,,11150,2 impasse de malepère,,2 impasse de malepère 11150 Bram,,,,06 67 32 58 10,,,,,,,,,,Janvier 2020,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.24197,2.092561,W,,,43.24197,2.092561
Ref_0082,,11,SALLES-SUR-L’HERS,,Cowork'in Ganguise,,11410,Mairie,,Mairie 11410 SALLES-SUR-L’HERS,,,,06 77 87 39 84,,,,,,,,,,Janvier 2020,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.292768,1.780235,W,,,43.292768,1.780235
Ref_0083,,11,Sainte-Valière,,Médiathèque Lo Gal,,11120,7 Place de l'Église,,7 Place de l'Église 11120 Sainte-Valière,,Médiathèque,,04 68 46 31 19,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.272781,2.842222,,,,43.272781,2.842222
Ref_0084,,11,Rouffiac-d’Aude,,Médiathèque,Carcassonne Agglo,11250,Allée des Marronniers,,Allée des Marronniers 11250 Rouffiac-d’Aude,,Médiathèque,,04 68 26 48 95,mediatheque@carcassonne-agglo.fr,,,,,,,,,Janvier 2020,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.128635,2.297558,ORD,TP,,43.128635,2.297558
Ref_0085,,11,CARCASSONNE,,LIEU RESSOURCES INSERTION,Ligue de l'enseignement,11000,16 rue Fédou,,16 rue Fédou 11000 CARCASSONNE,,,,04 68 25 99 88,lri@ligue11.org,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213587,2.358548,,,,43.213587,2.358548
Ref_0086,,11,Gruissan,,MJC de Gruissan,,11430,Montée du Pech,,Montée du Pech 11430 Gruissan,,,,04 68 49 61 87,,https://www.mjc-gruissan.com/,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.106805,3.090296,,,,43.106805,3.090296
Ref_0087,,11,Carcassonne,,MJC de Carcassonne,,11000,91 rue Aimé Ramond,,91 rue Aimé Ramond 11000 Carcassonne,,,,04 68 11 17 00,mjc@carca.org,http://carca.org/online/,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.211839,2.347837,,,,43.211839,2.347837
Ref_0088,,31,Arbas,,Bibliothèque municipale,Foyer rural,31160,Place de la Mairie,,Place de la Mairie 31160 Arbas,,Bibliothèque,,05 61 98 18 03,bibliotheque@arbas.fr,https://foyerruralarbas.wordpress.com/bibliotheque/,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,42.995836,0.907489,ORD,TP,,42.995836,0.907489
Ref_0089,,31,Auterive,,Le foyer Auterive,,31190,1 place du Maréchal Leclerc,,1 place du Maréchal Leclerc 31190 Auterive,,Centre social,,,,centresocialauterive.fr,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,,,Decembre 2019,,,SENS,,,,ORDM,,,,ACCDA,,,,,,,,,,,,,,,,43.352866,1.477881,SENS-ORDM-ACCDA,,,43.352866,1.477881
Ref_0090,,31,Auterive,,Médiathèque municipale,,31190,780 Route d'Espagne,,780 Route d'Espagne 31190 Auterive,,,,05 82 95 45 75,mediatheque@auterive-ville.fr,,,,,,,,,Decembre 2019,,,ORD,TP,adhésion,,,,,,,,,,,,,,,,,,,,,,43.337717,1.480148,ORD,TP,,43.337717,1.480148
Ref_0091,,31,Auterive,,Communauté de communes de bassin auterivain,,31190,ZI Robert Lavigne RD 820,,ZI Robert Lavigne RD 820 31190 Auterive,Collectivité territoriale,,,05 61 50 99 00,,http://annuaire.auterive31.fr/front/index.php?membre=1687,,,,,,,,Decembre 2019,,,ACCDS,TP,Libre,,COMP,Emploi,Libre,,,,,,,,,,,,,,,,,,43.367104,1.447369,ACCDS-COMP,TP-Emploi,,43.366215,1.4509
Ref_0092,,31,Auterive,,France Service - CC Bassin Auterivain,Communauté de communes,31190,Rd 820 ZI Robert Lavigne,,Rd 820 ZI Robert Lavigne 31190 Auterive,Collectivité territoriale,,,05 61 50 99 00,franceservices@ccba31.fr,,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.367104,1.447369,,,,43.366215,1.4509
Ref_0093,,31,Auterive,,TL ESPACE FIRMIN PONS,COMMUNE AUTERIVE,31190,780 route d'Espagne,,780 route d'Espagne 31190 Auterive,Collectivité territoriale,,,05.61.50.96.87,dgs@auterive-ville.fr,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.337717,1.480148,,,,43.337717,1.480148
Ref_0094,,31,Bagnères de Luchon,,MJC,,31110,,,31110 Bagnères de Luchon,,,,,luchon@mjc-midi-pyrenees.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.791683,0.589935,,,,42.791337,0.589937
Ref_0095,,31,Escalquens,,Le 100eme singe,,31750,13 avenue de la mairie,,13 avenue de la mairie 31750 Escalquens,Association,,,,lecentiemesinge@gmail.com,https://le100esinge.com/,,,,,,,,Février 2021,,,W,TP,Mise à disposition des espaces de travail partagé  pouvant devenir un facteur de réseaux professionnels,,ACCN,J DE ALL,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur  nos voisins.,,FL,TP,Activité en co-portage avec Escale Bricole (https://escale-bricole.fr/),,COMP,J ALL,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.,,,,,TL,Tiers lieu,oui,,43.517589,1.55772,W-ACCN-FL-COMP,TP-J DE ALL-TP-J ALL,,43.517589,1.55772
Ref_0096,,31,Bessieres,,France Services - Val Aïgo Antenne de Bessières,Communauté de communes Val'Aïgo,31660,26 Place du souvenir,,26 Place du souvenir 31660 Bessieres,Collectivité territoriale,,,,cias2@valaigo.fr,,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.800751,1.606565,,,,43.800751,1.606565
Ref_0097,,31,Blagnac,,Mairie de Blagnac,,31700,1 place des Arts,,1 place des Arts 31700 Blagnac,Collectivité territoriale,,,05 61 71 72 00,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.635319,1.39838,,,,43.635319,1.39838
Ref_0098,,31,Blagnac,,MJC DES ARTS BLAGNAC,,31700,2 rue de la Croix Blanche,,2 rue de la Croix Blanche 31700 Blagnac,Association,,,05 34 26 52 75,contact@mjc-arts-blagnac.com,https://www.mjc-arts-blagnac.com/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.63351,1.39861,,,,43.63351,1.39861
Ref_0099,,31,Cazères,,Maison Pour tous,,31220,6 rue des Capucins,,6 rue des Capucins 31220 Cazères,,Centre social,,,,www.mptcazeres.fr,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,ORDM,,,,,,,,,,,,,,,,,,,,43.20428,1.08388,COMP-ORDM,TP,,43.20428,1.08388
Ref_0100,,31,Cintegabelle,,Foyer rural « La Gabela »,,31550,mairie,,mairie 31550 Cintegabelle,,Foyer rural,,,,,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,,,,,,,,,,,,,,,,,,,,,43.271251,1.558482,COMP,TP,,43.318449,1.536907
Ref_0101,,31,Clarac,,foyer rural Clarac,,31210,Chemin de Sainte Anne,,Chemin de Sainte Anne 31210 Clarac,Association,Foyer rural,,05 61 89 70 64,foyer-rural-clarac@orange.fr,http://www.foyerruralclarac.org/accueil.html,,,,,,,,Decembre 2019,,,COMP,TP,Libre,,,,,,,,,,,,,,,,,,,,,,43.097976,0.62331,COMP,TP,,43.097976,0.62331
Ref_0102,,31,Colomiers,,Mairie,,31770,,,31770 Colomiers,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.609804,1.32962,,,,43.609804,1.32962
Ref_0103,,31,Colomiers,,CCAS,,31770,18 PLACE DU LANGUEDOC,,18 PLACE DU LANGUEDOC 31770 Colomiers,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6109,1.33016,,,,43.6109,1.33016
Ref_0104,,31,Colomiers,,LA MIJOTEUSE,COMMUNE DE COLOMIERS,31770,Place Joseph Verseille,,Place Joseph Verseille 31770 Colomiers,Collectivité territoriale,,,06.38.50.65.31.,christine.gouaux@mairie-colomiers.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.609555,1.339555,,,,43.609555,1.339555
Ref_0105,,31,Colomiers,,Point Rencontres Chomeurs Precaires (PRCP),,31770,2 Allée du Vignemale,,2 Allée du Vignemale 31770 Colomiers,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.60514,1.333515,,,,43.60514,1.333515
Ref_0106,,31,Fenouillet,,Association Femmes du Monde,,31150,,,31150 Fenouillet,Association,Centre social,,05 31 48 50 99 06 27 20 24 70,asso.femmesdumonde@gmail.com,http://femmes-du-monde-31.blogspot.fr/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.684445,1.391525,,,,43.684445,1.391525
Ref_0107,,31,La Salvetat Saint Gilles,,centre social F Chopin,,31880,Rue Frédéric Chopin,,Rue Frédéric Chopin 31880 La Salvetat Saint Gilles,,Centre social,,05.34.52.70.96,,,,,,,,,,Decembre 2019,,,COMP,SEN,,,,,,,,,,,,,,,,,,,,,,,43.575575,1.273254,COMP,SEN,,43.575575,1.273254
Ref_0108,,31,Labège,,ASSOCIATION IOT VALLEY,,31670,425 rue Jean Rostand,,425 rue Jean Rostand 31670 Labège,Association,,,,bertran@iot-valley.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.543887,1.511505,,,,43.543887,1.511505
Ref_0109,,31,Escalquens,,Maison de la Solidarité,,31670,Mairie d'Escalquens Place François Mitterrand,,Mairie d'Escalquens Place François Mitterrand 31670 Escalquens,,Centre social,,05 62 71 56 75,centre.social@escalquens.fr,www.escalquens.fr,14h-18h,8h30-12h et 14h-18h,8h30-12h et 14h-18h,9h-12h et 14h-19h,8h30-12h et 14h-18h,,,Juin 2021,,,ORDM,,,,ENT,SEN,Ouvert aux adhérents du centre social - Sur inscription  priorité aux Escalquinois.  Tous les mercredis de 14h à 17h hors vacances scolaires,Mathilde LABETAA,ACCDS,TP,Démarche simple en ligne liée à un droit (aller chercher une attestation sur son espace personnel  transmettre une pièce jointe  faire une déclaration trimestrielle...),,,,,,,,,,,,,,43.517864,1.558979,ORDM-ENT-ACCDS,SEN-TP,,43.517864,1.558979
Ref_0110,,31,Lagardelle-sur-Lèze,,EVOLFABLAB,,31870,289 route de la fontannasse,,289 route de la fontannasse 31870 Lagardelle-sur-Lèze,Association,,,06 20 22 11 48,infoaleze@gmail.com,,,,,,,,,Decembre 2019,,,FL,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.414922,1.396709,FL,,,43.414727,1.396756
Ref_0111,,31,Lagardelle-sur-Lèze,,Mairie,,31870,,,31870 Lagardelle-sur-Lèze,,,,,,,,,,,,,,Decembre 2019,TP,Libre,SENS,,,,FL,,,,,,,,,,,,,,,,,,,,43.413788,1.392278,SENS-FL,TP,,43.412969,1.392284
Ref_0112,,31,Lagardelle-sur-Lèze,,Médiathèque municipale,,31870,3 Château de Vignaou,,3 Château de Vignaou 31870 Lagardelle-sur-Lèze,,,,,bm.lagardelle@wanadoo.fr,,,15h00 - 18h00,09h30 - 12h30 et 15h00 - 18h00,15h00 - 18h00,09h30 - 12h30,09h30 - 12h30,,Decembre 2019,,,ORD,ALL,,,,,,,,,,,,,,,,,,,,,,,43.414512,1.388385,ORD,ALL,,43.414559,1.388024
Ref_0113,,31,Le Fauga,,Desir informatique faugatien,,31410,1 Place de la HALLE,,1 Place de la HALLE 31410 Le Fauga,Association,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39619,1.295885,,,,43.39619,1.295885
Ref_0114,,31,Le Fauga,,mairie La Fauga,,31410,1 Place de la Halle,,1 Place de la Halle 31410 Le Fauga,Collectivité territoriale,,,,mairie@lefauga.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39619,1.295885,,,,43.39619,1.295885
Ref_0115,,31,Lespinasse,,PCWORKS31,,31150,2 Allée Pierre-paul Riquet,,2 Allée Pierre-paul Riquet 31150 Lespinasse,,,,0954 882 757,,https://pcworks31.com/,,,,,,,,Octobre 2020,,,W,,,,COMP,,,,PRO,,,,,,,,,,,,APTIC,APTIC,,,43.707551,1.385597,W-COMP-PRO,,,43.707551,1.385597
Ref_0116,,31,Lherm,,C N S Communications,,31600,9 Rue de la Foret,,9 Rue de la Foret 31600 Lherm,,,,,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.427296,1.211384,,,,43.427296,1.211384
Ref_0117,,31,Léguevin,,centre social La Maison des Quartiers,,31490,49 rue Pipet,,49 rue Pipet 31490 Léguevin,,Centre social,,05 61 06 90 13,centre-social.leguevin@save-touch.org,http://www.ville-leguevin.fr/maison_des_quartiers%20(2).aspx,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.600721,1.234607,,,,43.600721,1.234607
Ref_0118,,31,Lévignac,,centre social Vallée de la Save,Communauté de communes de la Save au Touch,31530,5 rue de la Mairie,,5 rue de la Mairie 31530 Lévignac,,Centre social,,05 62 13 80 20,centre-social.valleesave@save-touch.org,https://www.mairie-levignac.com/centre-social,9h00 - 12h00 et de 14h00 à 17h30,9h00 - 12h00 et de 14h00 à 17h30,9h00 - 12h00 et de 14h00 à 17h30,9h00 - 12h00 et de 14h00 à 17h30,9h00 – 12h00,,,Octobre 2020,,,SENS,TP,Libre,,,,,,,,,,,,,,,,,,,,,,43.666663,1.194417,SENS,TP,,43.666663,1.194417
Ref_0119,,31,Merville,,Centre Social de Merville / CCAS,,31330,50 rue du 19 mars 1962,,50 rue du 19 mars 1962 31330 Merville,,Centre social,,05 62 13 40 95,,,,,,,,,,Decembre 2019,,,ORD,TP,Libre,,ORD,ALL,Libre,,COMP,TP,Libre,,SENS,,,,,,,,,,,,43.722019,1.298805,ORD-ORD-COMP-SENS,TP-ALL-TP,,43.722019,1.298805
Ref_0120,,31,Miremont,,Médiathèque,,31190,Place Carreties,,Place Carreties 31190 Miremont,,,,05 61 50 67 05,biblio.miremont@wanadoo.fr,,,,,,,,,Decembre 2019,,,ORD,Habitants,,,,,,,,,,,,,,,,,,,,,,,43.370489,1.416036,ORD,Habitants,,43.370489,1.416036
Ref_0121,,31,Montbrun Bocage,,L'ordinateur facile,,31310,3 rue du Rebarat,,3 rue du Rebarat 31310 Montbrun Bocage,Association,,,06 51 91 40 96,lordinateurfacile@gmail.com,http://www.lordinateurfacile.fr/,9 h - 14 h,9 h - 14 h,9 h - 14 h,9 h - 14 h,9 h - 14 h,9 h - 14 h,,Decembre 2019,,,ORDM,,,,ACCDS,,,,FL,,,,,,,,,,,,,,,,43.127457,1.267767,ORDM-ACCDS-FL,,,43.127457,1.267767
Ref_0122,,31,Montrejeau,,SARAPP Montrejeau,,31210,,,31210 Montrejeau,,,,05.61.94.59.82,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.085468,0.558922,,,,43.087694,0.557446
Ref_0123,,31,Nailloux,,France Services - CC Terres du Lauragais,Communauté de communes,31560,1 rue de la république,,1 rue de la république 31560 Nailloux,Collectivité territoriale,,,06 60 94 95 34,franceservices.sud@terres-du-lauragais.fr,https://www.cohesion-territoires.gouv.fr/france-services,13:30 - 17:00,13:30 - 17:00,de 09h00 à 12h30 de 13h30 à 17h00,13:30 - 17:00,de 09h00 à 12h30 de 13h30 à 17h00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.356585,1.623418,,,,43.356585,1.623418
Ref_0124,,31,Pibrac,,Maison des Initiatives Sociales et Culturelles,,31820,1 Impasse de la Gare,,1 Impasse de la Gare 31820 Pibrac,,Centre social,,,,,,,,,,,,Decembre 2019,,,ORD,,,,COMP,,,,,,,,,,,,,,,,,,,,43.621325,1.289239,ORD-COMP,,,43.621327,1.287953
Ref_0125,,31,Plaisance du Touch,,centre social Sesame,,31830,1 rue des Tilleuls,,1 rue des Tilleuls 31830 Plaisance du Touch,,Centre social,,05 62 13 52 57,centre.sesame@save-touch.org,https://www.plaisancedutouch.fr/le-centre-sesame,,,,,,,,Octobre 2020,,,COMP,SEN,inscription,,,,,,,,,,,,,,,,,,,,,,43.567961,1.296663,COMP,SEN,,43.567961,1.296663
Ref_0126,,31,Puydaniel,,Solidarité Numérique CCAS,ASSOCIATION PLANETE SCIENCES OCCITANIE,31190,8 avenue des Pyrénées,,8 avenue des Pyrénées 31190 Puydaniel,Collectivité territoriale,,,05 61 50 72 44,mairiepuydaniel@wanadoo.fr,https://www.mairie-puydaniel.fr/,,,,,,,,Decembre 2019,TP,Libre,ORDM,,,,ACCN,,,,SENS,,,,,,,,,,,,,,,,43.337135,1.429501,ORDM-ACCN-SENS,TP,,43.337135,1.429501
Ref_0127,,31,Ramonville,,Le PIC : ""Projet Internet et Citoyenneté"",,31520,14 chemin pouciquot,,14 chemin pouciquot 31520 Ramonville,Association,,,06 76 08 88 39 ou 06 01 22 32 91,,https://www.le-pic.org/,,,,,,,,Octobre 2020,TP,,COMP,TP,sur inscription. Les samedi de 14h à 18h. thèmes des ateliers sur : https://www.le-pic.org/spip.php?rubrique121,,,,,,,,,,,,,,,,,,,,,,43.551755,1.471748,COMP,TP-TP,,43.551908,1.472598
Ref_0128,,31,Ramonville,,Le F@bRiquet,,31520,14 rue Hermes,,14 rue Hermes 31520 Ramonville,Association,,,05 61 73 10 22,ariane.rudelle@planete-sciences.org,http://www.fabriquet.fr/web/,,14h-22h,13h-18h,Sur RDV,13h-18h,13h-20h,,Decembre 2019,,,FL,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.550024,1.485155,FL,,,43.550024,1.485155
Ref_0129,,31,Rieumes,,France Services - CC Cœur de Garonne,Communauté de Communes Cœur de Garonne,31370,2 Place du marché à la volaille,,2 Place du marché à la volaille 31370 Rieumes,Collectivité territoriale,,,09 67 51 89 96,franceservices@cc-coeurdegaronne.fr,https://www.cohesion-territoires.gouv.fr/france-services,de 14h00 à 17h00,de 08h30 à 12h30 de 14h00 à 17h00,de 08h30 à 12h30,de 08h30 à 12h30 de 14h00 à 17h00,de 08h30 à 12h30,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.412778,1.119277,,,,43.412778,1.119277
Ref_0130,,31,Toulouse,,Alliances et Cultures MUP,,31000,14 chemin du miral,,14 chemin du miral 31000 Toulouse,Association,,,05 61 44 67 63,centresocial.mup@alliancesetcultures.org,http://www.alliancesetcultures.org,,,9h - 12h30,9h - 12h30 et 14h - 17h,9h - 12h30,,,Mars 2021,TP,Gratuit,ORDM,TP,,,,,,,,,,,,,,,,,,,,,,,43.613708,1.445647,ORDM,TP-TP,,43.613708,1.445647
Ref_0131,,31,Saint Gaudens,,MJC / cyber-base du Saint-Gaudinois,,31800,1 place du maréchal juin,,1 place du maréchal juin 31800 Saint Gaudens,Association,,,05 61 94 66 45,info@mjc-st-gaudens.org,www.mjc-st-gaudens.org,,,,,,,,Octobre 2020,,,ORDM,,,,COMP,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.109176,0.726436,ORDM-COMP,,,43.109176,0.726436
